year,record_type,state,ori,agency_name,agency_type,population_group,country_division,population,agency_status,covered_by_ori,fbi_field_office,judicial_district
2023,BH,04,CA0151100,000000000000        20220,Unknown,Unknown,CA,LIFORNIA,C,ITY,Unknown,Unknown
2023,BH,04,CA0151200,000000000000        20220,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0151300,000000000000,Unknown,Unknown,CH,INA LAKE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0151400,000000000000,Unknown,Unknown,TE,HACHAPI,Unknown,None,Unknown,Unknown
2023,BH,04,CA0151500,000000000000        20220,Other,Unknown,TE,HACHAPI,Unknown,None,Unknown,Unknown
2023,BH,04,CA015160X,000000000000,Unknown,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA015179P,000000000000,Unknown,Unknown,CA,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0152100,000000000000        20220,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0152200,000000000000        20250,University/College,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159700,000000000000,Unknown,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA015980X,000000000000,Unknown,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159900,000000000000        20211,County,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159912,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159920,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159924,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159926,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159930,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0159960,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160000,000000000000        20211,County,Unknown,HA,NFORD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160100,000000000000        20210,Unknown,Unknown,CO,RCORAN,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160200,000000000000        20210,Unknown,Unknown,HA,NFORD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160300,000000000000        20210,Unknown,Unknown,LE,MOORE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160400,000000000000,Unknown,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160500,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA016060X,000000000000        20210,Unknown,Unknown,PO,RTERVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA016070X,000000000000,Unknown,Unknown,AV,ENAL,Unknown,None,Unknown,Unknown
2023,BH,04,CA0160800,000000000000        20210,Federal,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA016980X,000000000000,Unknown,Unknown,HA,NFORD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0169900,000000000000        20211,County,Unknown,HA,NFORD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0169940,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0170000,000000000000        20210,County,Unknown,LA,KEPORT,Unknown,None,Unknown,Unknown
2023,BH,04,CA0170100,000000000000        20211,County,Unknown,LA,KEPORT,Unknown,None,Unknown,Unknown
2023,BH,04,CA0170200,000000000000        20220,Unknown,Unknown,CL,EARLAKE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0170300,000000000000,Unknown,Unknown,KE,LSEYVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0179900,000000000000        20211,County,Unknown,KE,LSEYVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0179951,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0180000,000000000000        20211,County,Unknown,SU,SANVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0180100,000000000000        20211,County,Unknown,SU,SANVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA018030X,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA018040X,000000000000,Unknown,Unknown,LO,S ANGELES,Unknown,None,Unknown,Unknown
2023,BH,04,CA0180500,000000000000        20230,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA018980X,000000000000,Unknown,Unknown,SU,SANVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0189900,000000000000        20211,County,Unknown,SU,SANVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0189940,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190000,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0190100,000000000000        20210,County,Unknown,AL,HAMBRA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190200,000000000000        20210,County,Unknown,AR,CADIA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190300,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0190400,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0190500,000000000000        20230,County,Unknown,AZ,USA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190600,000000000000        20210,University/College,Unknown,BA,LDWIN PAR,K,None,Unknown,Unknown
2023,BH,04,CA0190700,000000000000        20220,Federal,Unknown,BE,LL,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190800,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0190900,000000000000        20220,Tribal,Unknown,BE,LL GARDEN,S,None,Unknown,Unknown
2023,BH,04,CA0190C00,000000000000        20210,Federal,Unknown,TO,RRANCE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190D0X,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0190E0X,000000000000,Unknown,Unknown,LO,S ANGELES,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190G00,000000000000,Unknown,Unknown,LO,S ANGELES,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190H9P,000000000000,Unknown,Unknown,CA,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190I00,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190J00,000000000000,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190K00,000000000000,Unknown,Unknown,LO,S ANGELES,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190M0X,000000000000,Unknown,Unknown,CA,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190P00,000000000000,Unknown,Unknown,LO,NG BEACH,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190R00,000000000000        20231,State,Unknown,PA,SADENA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0190X0X,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0191000,000000000000        20220,Unknown,Unknown,BE,VERLY HIL,L,S,Unknown,Unknown
2023,BH,04,CA0191100,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0191200,000000000000        20211,State,Unknown,BU,RBANK,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191300,000000000000        20220,University/College,Unknown,CL,AREMONT,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191400,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0191500,000000000000,Unknown,Unknown,CO,MPTON,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191600,000000000000        20210,Unknown,Unknown,CO,VINA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191700,000000000000,Unknown,Unknown,MA,YWOOD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191800,000000000000        20210,University/College,Unknown,CU,LVER CITY,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191900,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0191B00,000000000000,Unknown,Unknown,LA,NCASTER,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191C00,000000000000,Unknown,Unknown,LE,BEC,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191E0X,000000000000,Unknown,Unknown,PO,MONA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0191F00,000000000000,Unknown,Unknown,MO,NTEREY PA,R,K,Unknown,Unknown
2023,BH,04,CA0191H0X,000000000000,Unknown,Unknown,WE,ST HOLLYW,O,OD,Unknown,Unknown
2023,BH,04,CA0191N00,000000000000,Unknown,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
